kanaele;filterpapier;zeit_filterpapier;co60;zeit_co60;ba133;zeit_ba133;background;zeit_background
324;1;;1;;1;;7;
325;1;;1;;1;;6;
326;4;;3;;1;;7;
327;2;;0;;1;;17;
328;3;;0;;0;;12;
329;3;;3;;0;;8;
330;1;;1;;1;;5;
331;2;;1;;0;;8;
332;2;;2;;1;;9;
333;3;;1;;0;;8;
334;3;;1;;0;;11;
335;2;;1;;1;;9;
336;4;;0;;2;;9;
337;4;;0;;1;;10;
338;2;;0;;1;;10;
339;0;;0;;0;;11;
340;3;;0;;1;;11;
341;1;;0;;1;;8;
342;3;;1;;0;;8;
343;1;;0;;0;;12;
344;2;;1;;0;;11;
345;3;;0;;0;;9;
346;1;;1;;0;;9;
347;1;;1;;0;;10;
348;2;;0;;1;;14;
349;3;;0;;0;;7;
350;0;;1;;0;;9;
351;0;;0;;0;;14;
352;2;;2;;0;;11;
353;3;;0;;1;;11;
354;2;;2;;1;;13;
355;1;;3;;0;;13;
356;0;;1;;0;;7;
357;3;;0;;0;;8;
358;2;;1;;1;;11;
359;0;;1;;1;;10;
360;2;;0;;0;;11;
361;1;;1;;0;;12;
362;1;;0;;0;;12;
363;1;;0;;0;;11;
364;1;;0;;2;;9;
365;3;;0;;2;;13;
366;4;;1;;2;;14;
367;4;;1;;1;;11;
368;2;;4;;0;;11;
369;4;;0;;0;;11;
370;2;;2;;0;;13;
371;3;;0;;1;;11;
372;4;;0;;2;;7;
373;5;;0;;0;;7;
374;3;;1;;2;;7;
375;4;;1;;0;;7;
376;4;;0;;0;;8;
377;3;;0;;1;;9;
378;3;;1;;0;;13;
379;3;;0;;0;;12;
380;4;;1;;0;;12;
381;3;;0;;1;;9;
382;2;;0;;0;;15;
383;2;;0;;0;;12;
384;1;;1;;0;;11;
385;3;;0;;0;;6;
386;6;;0;;0;;6;
387;5;;2;;1;;10;
388;2;;1;;0;;15;
389;1;;0;;1;;12;
390;3;;1;;1;;15;
391;2;;1;;0;;9;
392;3;;0;;0;;12;
393;3;;0;;0;;11;
394;3;;1;;0;;10;
395;4;;0;;1;;11;
396;2;;2;;0;;12;
397;2;;1;;1;;16;
398;1;;0;;0;;12;
399;1;;2;;0;;10;
400;1;;1;;1;;14;
401;1;;1;;2;;17;
402;1;;1;;0;;11;
403;3;;1;;1;;14;
404;1;;1;;0;;15;
405;1;;0;;0;;15;
406;4;;1;;0;;20;
407;2;;2;;1;;16;
408;1;;0;;1;;11;
409;2;;1;;0;;19;
410;1;;1;;0;;18;
411;2;;2;;2;;12;
412;2;;2;;0;;13;
413;1;;1;;0;;19;
414;3;;0;;1;;16;
415;3;;0;;1;;14;
416;2;;0;;0;;12;
417;2;;0;;0;;13;
418;4;;1;;0;;13;
419;3;;0;;0;;16;
420;4;;0;;1;;20;
421;4;;0;;1;;21;
422;5;;1;;1;;16;
423;5;;2;;0;;19;
424;6;;1;;1;;20;
425;4;;0;;1;;27;
426;1;;2;;1;;15;
427;2;;2;;0;;17;
428;4;;1;;1;;23;
429;2;;0;;0;;11;
430;4;;1;;0;;14;
431;3;;1;;0;;24;
432;4;;2;;0;;15;
433;4;;2;;1;;19;
434;4;;0;;0;;17;
435;5;;0;;1;;20;
436;3;;3;;1;;28;
437;2;;2;;0;;23;
438;3;;2;;0;;21;
439;7;;3;;1;;23;
440;6;;2;;1;;25;
441;8;;1;;0;;27;
442;5;;2;;1;;23;
443;4;;1;;1;;23;
444;8;;0;;2;;25;
445;11;;4;;1;;25;
446;10;;2;;2;;26;
447;5;;1;;5;;33;
448;8;;2;;3;;25;
449;11;;4;;0;;37;
450;11;;2;;1;;31;
451;7;;0;;2;;33;
452;12;;2;;3;;43;
453;11;;1;;4;;41;
454;11;;1;;5;;51;
455;12;;1;;4;;49;
456;14;;2;;2;;64;
457;15;;2;;2;;75;
458;18;;1;;3;;72;
459;17;;1;;4;;75;
460;27;;1;;7;;74;
461;24;;3;;7;;86;
462;24;;2;;7;;92;
463;32;;4;;9;;105;
464;28;;1;;9;;113;
465;33;;3;;7;;132;
466;28;;8;;8;;142;
467;49;;9;;8;;166;
468;42;;5;;6;;159;
469;38;;4;;11;;164;
470;45;;4;;14;;167;
471;52;;6;;10;;179;
472;58;;9;;11;;211;
473;62;;9;;10;;235;
474;65;;6;;10;;241;
475;64;;6;;12;;259;
476;66;;9;;14;;290;
477;71;;12;;19;;305;
478;78;;14;;17;;346;
479;79;;7;;19;;369;
480;82;;6;;21;;394;
481;91;;12;;15;;430;
482;94;;13;;18;;427;
483;101;;10;;23;;429;
484;120;;17;;17;;467;
485;116;;15;;18;;493;
486;130;;19;;21;;542;
487;119;;16;;19;;571;
488;134;;19;;26;;571;
489;144;;17;;25;;611;
490;172;;19;;42;;602;
491;173;;15;;30;;689;
492;167;;15;;42;;757;
493;186;;23;;55;;778;
494;181;;20;;56;;771;
495;205;;20;;62;;826;
496;207;;16;;63;;865;
497;211;;13;;61;;905;
498;205;;17;;63;;947;
499;210;;27;;66;;974;
500;240;;25;;65;;986;
501;237;;27;;54;;1053;
502;245;;26;;41;;1075;
503;243;;26;;47;;1135;
504;254;;24;;54;;1168;
505;257;;30;;64;;1204;
506;270;;30;;69;;1216;
507;295;;35;;73;;1320;
508;282;;35;;55;;1332;
509;282;;29;;52;;1335;
510;315;;30;;52;;1368;
511;299;;35;;63;;1523;
512;327;;41;;69;;1447;
513;331;;38;;60;;1473;
514;353;;36;;59;;1549;
515;336;;39;;67;;1574;
516;362;;37;;63;;1566;
517;376;;34;;64;;1615;
518;388;;39;;62;;1675;
519;374;;44;;59;;1692;
520;380;;44;;68;;1707;
521;383;;51;;69;;1781;
522;377;;48;;74;;1834;
523;369;;48;;88;;1820;
524;404;;47;;86;;1859;
525;407;;51;;71;;1876;
526;429;;41;;78;;1955;
